PMID	URL
19421989	http://rbf.bioinfo.tw/~sachen/tmrbf.html
19508202	http://mcgill.3322.org/RNA/
19705487	http://rigidfinder.molmovdb.org
19837720	http://biosemantics.org/gene
19843613	http://www.ncbi.nlm.nih.gov/Structure/ibis/ibis.html
19850756	http://ancestors.bioinfo.uqam.ca/ancestorWeb/
19880388	http://genome.kazusa.or.jp/cyanobase
19906708	http://antares.protres.ru/comsin/
19906725	http://mips.gsf.de/webservices/services/SimapService2.0?wsdl
19908123	http://crdd.osdd.net/raghava/pfmpred/
19908156	http://cobi.uestc.edu.cn/cobi/people/hlin/webserver
19920122	http://its2.bioapps.biozentrum.uni-wuerzburg.de
19933760	http://www.h-invitational.jp/
19938154	http://biunit.naist.jp/ghecom
19947655	http://miaja.tic.udc.es/Bio-AIMS/TrypanoPPI.php
19995336	http://chemdata.shu.edu.cn/sub22/
20022974	http://www.gis.a-star.edu.sg/~bourque
20041294	http://app3.biosino.org:8080/miRTP/index.jsp
20044352	http://bioinformatics.bc.edu/clotelab/RNApathfinder
20045033	http://cic.scu.edu.cn/bioinformatics/secretp/index.htm
20053844	http://cd-hit.or
20069535	http://galaxyproject.org
20072606	http://asc.informatik.uni-tuebingen.de/
20077569	http://bioinfo3d.cs.tau.ac.il/FiberDock
20078398	http://bioinformatics.cise.ufl.edu/GBA/GBA.htm
20081221	http://www.sicuma.uma.es/multicore
20082720	http://casp.rnet.missouri.edu/soydb/
20085770	http://www.aporc.org/EnsemblePail/
20089173	http://bordnerlab.org/RTA/
20089514	http://idbps.tau.ac.il
20093124	http://www.csbio.sjtu.edu.cn/bioinf/Gneg-multi/
20106816	http:/www.cs.bgu.ac.il/
20109199	http://www.abl.ku.edu/thermorank/
20112421	http://gangsta.chemie.fu-berlin.de
20122196	http://caps.ncbs.res.in/hori
20122246	http://www1.spms.ntu.edu.sg/~chenxin/RKS_PPSC/
20123730	http://dotknot.csse.uwa.edu.au
20148364	http://icpr.jci.jx.cn/bioinfo/Quat-2L
20158924	http://www.ibt.lt/bioinformatics/coma
20161787	http://carolina.imis.athena-innovation.gr/mirextra/
20181237	http://bioalgorithm.life.nctu.edu.tw/OGtree2.0/
20194626	http://isga.cgb.indiana.edu/
20196081	http://rbf.bioinfo.tw/
20211841	http://cloneqc.thruhere.net/
20222969	http://crdd.osdd.net/raghava/kidoq
20233390	http://www.ebi.ac.uk/enright-srv/MapMi/
20299324	http://www.pdbj.org/SeSAW/
20331846	http://www.chemspider.com/
20353553	http://www.imtech.res.in/raghava/nadbinder/
20356391	http://genomes.urv.cat/CAIcal/RCDI
20363731	http://csbg.cnb.csic.es/mtserver
20368981	http://www.csbio.sjtu.edu.cn/bioinf/euk-multi-2/
20371497	http://www.payaologue.org
20373213	http://model.nmr.ru/platinum
20388221	http://weizhongli-lab.org/cd-hit
20399081	http://ccst.jlu.edu.cn/ci/bioinformatics/MiRNA
20405167	http://refdens.services.came.sbg.ac.at
20428314	http://cyanoclust.c.u-tokyo.ac.jp/
20430753	http://bioinformatics.psb.ugent.be/webtools/tapir
20430824	http://phylogenomics.berkeley.edu/satchmo-js
20430828	http://59.78.96.61/pharmmapper
20431150	https://bioinfo.lifl.fr/RNA/gardenia/gardenia.php
20435672	http://gsea4gwas.psych.ac.cn/
20435676	http://translatorx.co.uk
20438647	http://casp.rnet.missouri.edu/fold_rate/index.html
20439312	http://sing.ei.uvigo.es/ALTER/
20444836	http://choyce.ismb.lon.ac.uk/
20444866	http://metexplore.toulouse.inra.fr
20444867	https://chemoinfo.ipmc.cnrs.fr
20444868	http://www.e-rnai.org/
20444871	http://prism.ccbb.ku.edu.tr/hotpoint
20444873	http://www.pandora.cs.huji.ac.il
20444875	http://rna.informatik.uni-freiburg.de
20444876	http://aladyn.escience-lab.org
20446018	http://redpoll.pharmacy.ualberta.ca/PANAV
20457748	http://ccrxp.netasa.org
20459631	http://rnafrabase.cs.put.poznan.pl
20460459	http://bioinfo3d.cs.tau.ac.il/FiberDock/
20460462	http://ccbg.imppc.org/sires/index.html
20460464	http://agknapp.chemie.fu-berlin.de/gplus
20460469	http://www.prosess.ca
20462859	http://kortemmelab.ucsf.edu/backrub
20462862	http://www.embraceregistry.net
20462864	http://grape.uwbacter.org
20465815	https://www.jade-adf.org/cuhk/
20478824	http://3vee.molmovdb.org
20478825	http://dsap.cgu.edu.tw
20478827	http://centre.bioinformatics.zj.cn/mirtools/
20478829	http://bioserv.rpbs.univ-paris-diderot.fr/fpocket
20478830	http://consurf.tau.ac.il
20478831	http://www.itb.cnr.it/rss
20478832	http://proteomics.bioengr.uic.edu/NAPS
20483919	http://www.biokdd.fudan.edu.cn/Service/MetaMHC.html
20484371	http://toppcluster.cchmc.org
20484373	http://smap.nbcr.net
20484376	http://proteinformatics.charite.de/mplot/
20484378	http://www.biocatalogue.org/
20487540	http://darwin.uvigo.es
20494976	http://speed.sys-bio.net/
20494977	http://cbr.jic.ac.uk/threadmapper
20497997	http://guidance.tau.ac.il
20497999	http://bioware.ucd.ie/~compass/biowareweb/Server_pages/slimfinder.php
20501600	http://sfmap.technion.ac.il
20501601	http://webprinses.epfl.ch/
20501603	http://cylofold.abcc.ncifcrf.gov
20501605	http://www.myexperiment.org
20504855	http://probis.cmm.ki.si
20504857	http://polyview.cchmc.org/conform.html
20505002	https://www.ncbi.nlm.nih.gov/CBBresearch/Spouge/html_ncbi/html/tap/tap.cgi
20505003	http://salilab.org/peptide
20507903	http://salilab.org/foxs
20507908	http://bioalgorithm.life.nctu.edu.tw/iPARTS/
20507911	http://www.bioinformatics.sussex.ac.uk/PIRANHA
20507915	http://wavi.bioinfo.cnio.es
20510878	http://alex.chonnam.ac.kr/~drminor/hapHome.htm
20511590	http://pcfamily.life.nctu.edu.tw
20511591	http://cpclab.uni-duesseldorf.de/dsppi
20513646	http://molsim.sci.univr.it/constraint
20513649	http://www.sbg.bio.ic.ac.uk/3dligandsite
20513650	http://cb.csail.mit.edu/cb/struct2net/webserver/
20513664	http://biogibbs.stanford.edu/
20519201	http://simfam.life.nctu.edu.tw/
20519202	http://pcrtiler.alaingervais.org:8080/PCRTiler
20521083	http://www.cyclodextrin.net
20521245	http://www.bx.psu.edu
20522509	http://bioinfo.lifl.fr/TFM
20522512	http://epsf.bmad.bii.a-star.edu.sg/struct_server.html
20524020	http://pallab.serc.iisc.ernet.in/dockYard
20525281	http://www.imtech.res.in/raghava/gtpbinder/
20525398	http://www.nubios.nileu.edu.eg/tools/wami
20525638	http://www.atgc-montpellier.fr/phyml/
20525782	http://smog.ucsd.edu
20525785	http://www.ibi.vu.nl/
20525787	http://structure.pitt.edu/anchor
20525794	http://www.inab.org/MOWServ/
20529369	http://pdomains.sdsc.edu/dConsensus
20529877	http://ws.nbcr.net
20529878	http://selox.mpi-cbg.de/cgi-bin/selox/index
20529880	http://chipd.uwbacter.org/
20529917	http://bioinformatics.bc.edu/clotelab/
20530534	http://120.107.8.16/dbcp
20538651	http://bioalgorithm.life.nctu.edu.tw/SORT2/
20538653	http://ProteinDBS.rnet.missouri.edu
20538727	http://reccr.chem.rpi.edu/Software/pesdserv
20542909	http://www.cbs.dtu.dk/services/CPHmodels/
20542910	http://regpredict.lbl.gov/regpredict
20542911	http://www.ParticleStats.com
20542913	http://mud.tau.ac.il
20551130	http://galaxy.fml.mpg.de
20565847	http://mprap.cbr.su.se/
20569214	http://indra.mullins.microbiol.washington.edu/DIVEIN
20576623	http://cmdd.csie.ntu.edu.tw/~chromaligner
20596258	http://www.csbio.sjtu.edu.cn/bioinf/plant-multi/
20605929	http://www.tcoffee.org/homepage.htm
20626900	http://rna.tbi.univie.ac.at/bcheck
20633297	http://bioinf.fbb.msu.ru/SDPfoxWeb/
20637097	http://crdd.osdd.net/raghava/metapred/
20645303	http://www.nupack.org
20645651	http://www.csbio.sjtu.edu.cn/bioinf/virus-multi/
20651112	http://www.compbio.dundee.ac.uk/prophossi
20652405	http://chemdata.shu.edu.cn/gal/
20677174	http://www.imtech.res.in/raghava/rnapred/
20696175	http://icpr.jci.jx.cn/bioinfo/pplot/2D-MH
20696711	http://cricket.ornl.gov/cgi-bin/cat.cgi
20698572	http://www.csbio.sjtu.edu.cn/bioinf/LR_PPI
20715289	http://pathways.asu.edu
20727159	http://www.ExpressionBrowser.com
20730460	http://biomine.ece.ualberta.ca/1D/1D.html
20731828	http://biocluster.di.unito.it/circuits
20733061	http://csbl1.bmb.uga.edu/GolgiP/
20739309	http://www.thesgc.org/resources/histone_tails/
20808810	http://www.bioinsilico.org/PCRPi
20811800	http://bioinf.uta.fi/PROlocalizer/
20823322	http://www.funsimmat.de
20824390	www.translatingtime.net
20850544	http://cssb.biology.gatech.edu/bsr/
20855923	http://ailab.cs.iastate.edu/mhcmir
20858292	http://caps.ncbs.res.in/peptidemine
20860794	http://www.imtech.res.in/raghava/icaars/
20861031	http://protein.bio.unipd.it/mobi/
20865537	http://www.igb.uci.edu/servers/sb.html
20868497	http://bordnerlab.org/MultiRTA
20871105	http://abagyan.ucsd.edu/SimiCo
20871108	http://www.ebi.ac.uk/enright/sylarray
20875157	http://datam.i2r.a-star.edu.sg/taphunter/
20876605	http://gloome.tau.ac.il/
20929913	http://rna.bgsu.edu/R3DAlign
20933105	http://www.mitotool.org
20937036	http://chemdata.shu.edu.cn/small-enz
20937596	http://www.rcsb.org/pdb/workbench/workbench.do
20946609	http://agbase.msstate.edu/
20947526	http://cellpublisher.gobics.de/
20949097	http://sysbio.cvm.msstate.edu/AntigenMap
20955168	http://immunet.cn/SubGolgi/
20956242	http://filtrest3d.genesilico.pl/
20961417	http://www.imtech.res.in/raghava/cbtope/
20961958	http://www.ibt.lt/bioinformatics/software/pdexk/
20965963	http://3did.irbbarcelona.org
20972212	http://www.yeastract.com
20975896	http://webfarm.bioinfoindia.org
20975897	http://www.nrcbioinformatics.ca/mmct
20977780	http://tardis.nibio.go.jp/netasa/htmone/
21029427	https://www.dsimb.inserm.fr/KNOTTIN/#
21030461	http://bio.kuas.edu.tw/PPO/
21030462	http://metagenomics.atc.tcs.com/SPHINX/
21031599	http://bioinfo.hr/pro-mine
21034466	http://consensx.chem.elte.hu
21044337	http://bindr.gdcb.iastate.edu/ZiFiT
21047386	http://bioinfo.ggc.org/mustab/
21062764	http://nbc.ece.drexel.edu
21070640	http://archaea.u-psud.fr/fitbar
21070651	http://labelhash.kavrakilab.org
21071392	http://www.pathwaycommons.org
21075745	http://www.dsimb.inserm.fr/dsimb-tools/peeling3
21082763	http://www.pep2pro.org
21097470	http://planttfdb.cbi.pku.edu.cn
21098431	http://www.paintomics.org
21110866	http://tinyurl.com/webprank
21121021	http://datalab.njit.edu/compbio/blockmatch/
21123221	http://rth.dk/resources/maxAlike
21143805	http://www.immunopred.org/bayesb/index.html
21149260	http://orthology.phylomedb.org
21149339	http://krauthammerlab.med.yale.edu/mu2a
21152409	http://www.cbs.dtu.dk/services/NetTurnP/
21155017	http://bimfg.cs.ntou.edu.tw/
21179190	http://mammoth.bcm.tmc.edu/networks
21180772	http://icpr.jci.edu.cn/
21182202	http://pipe2.systemsbiology.net/
21184613	http://miaja.tic.udc.es/Bio-AIMS/MIND-BEST.php
21205316	http://www.csbio.unc.edu/epistasis/
21208985	http://csbg.cnb.csic.es/mbrole
21224287	http://59.79.168.90/piRNA/index.php
21241501	http://ClusterAnalysis.org/
21245052	http://seqmap.compbio.iupui.edu/
21245076	http://www.ncbi.nlm.nih.gov/CBBresearch/Lu/search
21245417	http://www.verygene.com
21246634	http://compath.org/platcom/tcs
21252075	http://www.biodalliance.org/
21261981	http://bioinfo2.ugr.es/wordCluster/wordCluster.php
21268114	http://www.cbi.seu.edu.cn/PRBR/
21271979	http://math.cau.edu.cn/CPR
21277861	http://miaja.tic.udc.es/Bio-AIMS/NL-MIND-BEST.php
21281524	http://biodev.cea.fr/destripe
21282983	http://rna.igmors.u-psud.fr/toolbox/arnold
21291572	http://koehllab.genomecenter.ucdavis.edu/toolkit/h-factor
21296748	http://synteny.cnr.berkeley.edu/gobe-app/
21297972	http://bioinformatics.bc.edu/clotelab/RNAlocopt/index.spy
21304686	http://ggdc.gbdp.org
21317188	http://svmsnps.njit.edu
21328705	http://monod.uwaterloo.ca/nmr/ipass
21328706	http://service.bioinformatik.uni-saarland.de/tmx-site/
21330290	http://meme-suite.org
21342592	http://musk.ibms.sinica.edu.tw/UMARS/
21345871	http://gurkan.case.edu/software
21361385	http://www.modelling.leeds.ac.uk/ReverseScreen3D
21379402	http://moped.genetics.emory.edu/
21385787	http://bioinfo.amu.edu.pl/agos/
21386962	http://bioinf.cs.ucl.ac.uk/hspred
21388526	http://cbdm.mdc-berlin.de/tools/sampler/
21400228	http://www.imtech.res.in/raghava/marspred/
21414186	http://protein.cau.edu.cn/SSEA-OMP/index.html
21425296	http://www.poissonboltzmann.org/
21427194	http://www.caspur.it/ExpEdit/
21441347	http://hmgu.de/cmb/mitalos
21448735	http://www.shiftx2.ca
21450710	http://jilab.biostat.jhsph.edu/database/cgi-bin/hmChIP.pl
21453511	http://compbio.cs.princeton.edu/dpuc/
21460026	http://erebus.dokhlab.org
21464987	http://haddock.chem.uu.nl/services/CPORT
21478166	http://www.cs.bgu.ac.il/~xrnamute/XRNAmute
21483473	http://icpr.jci.edu.cn/bioinfo/iLoc-Euk
21486459	http://sourceforge.net/projects/mmview
21486936	http://meme.nbcr.net
21491495	http://www.cs.bgu.ac.il/∼meshi/functionPrediction
21493660	http://protein.bio.unipd.it/ring/
21493661	http://single.topcons.net/
21515631	http://bioinfo2.ugr.es/miRanalyzer/miRanalyzer.php
21531699	http://phyleasprog.inra.fr
21531804	http://regprecise.lbl.gov
21533231	http://amp.biosino.org/
21543451	http://www.aporc.org/noa/
21543452	http://mu2py.biocomp.unibo.it/mempype
21546397	http://sysbio.rnet.missouri.edu/apollo/
21551139	http://ekhidna.biocenter.helsinki.fi/poxo/mpea/
21558170	http://nrps.informatik.uni-tuebingen.de/
21558174	http://www.tcoffee.org
21558322	http://cpi.bio-x.cn/drar/
21558323	http://gbio-pbil.ibcp.fr/cgi/Curves_plus/
21565271	http://www.meilerlab.org
21569303	http://ds-geneminer.molgen.mpg.de/
21572105	http://bioserver-1.bioacademy.gr/Bioserver/PepServe/
21576219	http://snpsyn.biolab.si
21576220	http://falc-loop.seoklab.org/
21576226	http://pallab.serc.iisc.ernet.in/prune
21576231	http://bioit.dmbr.ugent.be/contrav2/index.php
21576238	http://bioinfo.bgu.ac.il/respnet
21584189	http://type3pks.in/tsvm/pks3
21586582	http://www.dsimb.inserm.fr/dsimb_tools/ipba/
21586587	http://jjwanglab.hku.hk/ChIP-Array
21592079	http://caps.ncbs.res.in/3dswap-pred
21593126	http://hmmer.org
21593128	http://www-cryst.bioc.cam.ac.uk/~sdm/sdm.php
21593135	http://albumin.althotas.com
21596778	http://corrna.cs.mcgill.ca
21596785	http://sysbio.ustc.edu.cn/software/mirAct
21602264	http://mirvestigator.systemsbiology.net
21602266	http://mspc.bii.a-star.edu.sg/click
21602267	http://www.esat.kuleuven.be/pinta/
21609948	http://wiki.c2b2.columbia.edu/honiglab_public/index.php/Software:PredUs
21609954	http://cbdm.mdc-berlin.de/tools/genie/
21609959	http://bidd.cz3.nus.edu.sg/cgi-bin/prof/protein/profnew.cgi
